Name,Height,Coordinates,Convex Hull,Dimensions,Planes
Baird Research Park,4.1,"[[-78.800251, 43.002512], [-78.80025, 43.002454], [-78.800314, 43.002453], [-78.800316, 43.002512], [-78.800419, 43.00251], [-78.800439, 43.003184], [-78.800132, 43.003188], [-78.800112, 43.002515], [-78.800251, 43.002512], [-78.800251, 43.002512]]","[[-78.800132, 43.003188], [-78.800439, 43.003184], [-78.800419, 43.00251], [-78.800251, 43.002512], [-78.80025, 43.002454], [-78.800314, 43.002453], [-78.800316, 43.002512], [-78.800251, 43.002512], [-78.800251, 43.002512], [-78.80025, 43.002454], [-78.800314, 43.002453], [-78.800316, 43.002512], [-78.800251, 43.002512], [-78.800112, 43.002515]]","[[6.443897393259578, 4.1], [5.219596662056851, 4.1], [6.556502634084991, 4.1], [8.401316199762089, 4.1], [74.89429755187066, 4.1], [25.03572765872216, 4.1], [74.78323119289544, 4.1], [11.338631622170768, 4.1], [0.0, 4.1]]","[<CesiumPy.Plane object at 0x000002C3D486BD00>, <CesiumPy.Plane object at 0x000002C3D486A230>, <CesiumPy.Plane object at 0x000002C3D486B1C0>, <CesiumPy.Plane object at 0x000002C3D46B5B40>, <CesiumPy.Plane object at 0x000002C3D4869DB0>, <CesiumPy.Plane object at 0x000002C3D486BAC0>, <CesiumPy.Plane object at 0x000002C3D486BD90>, <CesiumPy.Plane object at 0x000002C3D486AFB0>, <CesiumPy.Plane object at 0x000002C3D486B820>]"
Academic Center,9.0,"[[-78.785432, 43.007868], [-78.78596, 43.007866], [-78.785961, 43.00794], [-78.785998, 43.00794], [-78.786, 43.009019], [-78.785851, 43.00902], [-78.785717, 43.009112], [-78.785716, 43.009224], [-78.784051, 43.009217], [-78.784048, 43.008805], [-78.784109, 43.008805], [-78.784342, 43.008657], [-78.784364, 43.008672], [-78.78438, 43.008661], [-78.784379, 43.008636], [-78.784423, 43.008604], [-78.784525, 43.008684], [-78.784557, 43.008733], [-78.784572, 43.008871], [-78.784554, 43.008871], [-78.784554, 43.008899], [-78.785303, 43.008896], [-78.785301, 43.008834], [-78.785468, 43.008716], [-78.785538, 43.008717], [-78.785543, 43.008207], [-78.785413, 43.008207], [-78.785358, 43.008246], [-78.785308, 43.008211], [-78.78515, 43.008211], [-78.785148, 43.008132], [-78.785364, 43.007973], [-78.785322, 43.007941], [-78.785432, 43.007868], [-78.785432, 43.007868]]","[[-78.784048, 43.008805], [-78.784109, 43.008805], [-78.784051, 43.009217], [-78.785716, 43.009224], [-78.786, 43.009019], [-78.78596, 43.007866], [-78.785961, 43.00794], [-78.785998, 43.00794], [-78.78596, 43.007866], [-78.785961, 43.00794], [-78.785998, 43.00794], [-78.785432, 43.007868], [-78.785432, 43.007868], [-78.785364, 43.007973], [-78.785322, 43.007941]]","[[43.048711206370676, 9.0], [8.221278151553433, 9.0], [3.016627298439612, 9.0], [119.86935152580429, 9.0], [12.148334898253935, 9.0], [14.960370035293797, 9.0], [12.442673566289722, 9.0], [135.74763611560397, 9.0], [45.77093315297276, 9.0], [4.973288733598855, 9.0], [25.12354786966813, 9.0], [2.448273886110578, 9.0], [1.787452136208589, 9.0], [2.7785190261624324, 9.0], [5.0504020651704975, 9.0], [12.171381253864519, 9.0], [6.036459494886392, 9.0], [15.379520881754964, 9.0], [1.4675262515304321, 9.0], [3.110601461365749, 9.0], [61.066281136127486, 9.0], [6.8896901790733756, 9.0], [18.900373769044535, 9.0], [5.708141996494103, 9.0], [56.658846038208345, 9.0], [10.598914870690344, 9.0], [6.235324102514017, 9.0], [5.633505664302608, 9.0], [12.881757237806434, 9.0], [8.777853399209935, 9.0], [24.94273844676039, 9.0], [4.935941062217061, 9.0], [12.091317857849369, 9.0], [0.0, 9.0]]","[<CesiumPy.Plane object at 0x000002C3D486A4A0>, <CesiumPy.Plane object at 0x000002C3D486BCD0>, <CesiumPy.Plane object at 0x000002C3D486BB80>, <CesiumPy.Plane object at 0x000002C3D486BB50>, <CesiumPy.Plane object at 0x000002C3D486BFD0>, <CesiumPy.Plane object at 0x000002C3D486B910>, <CesiumPy.Plane object at 0x000002C3D486ABC0>, <CesiumPy.Plane object at 0x000002C3D486A680>, <CesiumPy.Plane object at 0x000002C3D486BAF0>, <CesiumPy.Plane object at 0x000002C3D486A5F0>, <CesiumPy.Plane object at 0x000002C3D486B2E0>, <CesiumPy.Plane object at 0x000002C3D486A200>, <CesiumPy.Plane object at 0x000002C3D486AEF0>, <CesiumPy.Plane object at 0x000002C3D486AC80>, <CesiumPy.Plane object at 0x000002C3D486B520>, <CesiumPy.Plane object at 0x000002C3D486BD30>, <CesiumPy.Plane object at 0x000002C3D486A6B0>, <CesiumPy.Plane object at 0x000002C3D4869E70>, <CesiumPy.Plane object at 0x000002C3D486B490>, <CesiumPy.Plane object at 0x000002C3D486B6D0>, <CesiumPy.Plane object at 0x000002C3D486A3E0>, <CesiumPy.Plane object at 0x000002C3D486BFA0>, <CesiumPy.Plane object at 0x000002C3D486A470>, <CesiumPy.Plane object at 0x000002C3D486B850>, <CesiumPy.Plane object at 0x000002C3D486B3A0>, <CesiumPy.Plane object at 0x000002C3D486BF10>, <CesiumPy.Plane object at 0x000002C3D486A710>, <CesiumPy.Plane object at 0x000002C3D486B970>, <CesiumPy.Plane object at 0x000002C3D486AC20>, <CesiumPy.Plane object at 0x000002C3D486B7C0>, <CesiumPy.Plane object at 0x000002C3D486A980>, <CesiumPy.Plane object at 0x000002C3D486B070>, <CesiumPy.Plane object at 0x000002C3D49204F0>, <CesiumPy.Plane object at 0x000002C3D49202B0>]"
Bonner Hall,16.8,"[[-78.787813, 43.001383], [-78.788492, 43.001384], [-78.788491, 43.00152], [-78.788508, 43.00152], [-78.788508, 43.001547], [-78.788485, 43.001547], [-78.788485, 43.001654], [-78.788371, 43.001653], [-78.788371, 43.001629], [-78.788354, 43.001629], [-78.788354, 43.001678], [-78.787831, 43.001677], [-78.787831, 43.001548], [-78.787794, 43.001548], [-78.787794, 43.001518], [-78.787813, 43.001518], [-78.787813, 43.001383], [-78.787813, 43.001383]]","[[-78.788491, 43.00152], [-78.788508, 43.00152], [-78.788508, 43.001547], [-78.788485, 43.001547], [-78.788492, 43.001384], [-78.787813, 43.001383], [-78.787813, 43.001383], [-78.787831, 43.001548], [-78.787794, 43.001548], [-78.787794, 43.001518], [-78.787813, 43.001518], [-78.787831, 43.001548], [-78.787794, 43.001548], [-78.787794, 43.001518], [-78.787813, 43.001518], [-78.787831, 43.001677], [-78.788371, 43.001653], [-78.788371, 43.001629], [-78.788354, 43.001629], [-78.788354, 43.001678], [-78.788485, 43.001654], [-78.788491, 43.00152], [-78.788508, 43.00152], [-78.788508, 43.001547], [-78.788485, 43.001547]]","[[55.36518633674823, 16.8], [15.108835995682956, 16.8], [1.3861622818365942, 16.8], [2.999504684452375, 16.8], [1.8753952070959625, 16.8], [11.886926110519811, 16.8], [9.29608488870768, 16.8], [2.666226436156578, 16.8], [1.3861598314494876, 16.8], [5.4435456512067075, 16.8], [42.6449106803081, 16.8], [14.330967021610899, 16.8], [3.016940066330884, 16.8], [3.3327829822718607, 16.8], [1.5492402471885498, 16.8], [14.997523202474854, 16.8], [0.0, 16.8]]","[<CesiumPy.Plane object at 0x000002C3D4920370>, <CesiumPy.Plane object at 0x000002C3D4920190>, <CesiumPy.Plane object at 0x000002C3D4920550>, <CesiumPy.Plane object at 0x000002C3D4920610>, <CesiumPy.Plane object at 0x000002C3D49200D0>, <CesiumPy.Plane object at 0x000002C3D4920970>, <CesiumPy.Plane object at 0x000002C3D4920850>, <CesiumPy.Plane object at 0x000002C3D4920910>, <CesiumPy.Plane object at 0x000002C3D49206D0>, <CesiumPy.Plane object at 0x000002C3D4920A90>, <CesiumPy.Plane object at 0x000002C3D4920B50>, <CesiumPy.Plane object at 0x000002C3D4920C10>, <CesiumPy.Plane object at 0x000002C3D4920CD0>, <CesiumPy.Plane object at 0x000002C3D4920D90>, <CesiumPy.Plane object at 0x000002C3D4920E50>, <CesiumPy.Plane object at 0x000002C3D4920F10>, <CesiumPy.Plane object at 0x000002C3D4920FD0>]"
Norton Hall,9.1,"[[-78.788156, 43.001274], [-78.788156, 43.001106], [-78.78826, 43.001106], [-78.788259, 43.000938], [-78.788936, 43.000938], [-78.788936, 43.00102], [-78.789147, 43.00102], [-78.789147, 43.001107], [-78.788842, 43.001107], [-78.788842, 43.001273], [-78.788156, 43.001274], [-78.788156, 43.001274]]","[[-78.788156, 43.001274], [-78.788156, 43.001274], [-78.788842, 43.001273], [-78.789147, 43.00102], [-78.789147, 43.001107], [-78.789147, 43.00102], [-78.789147, 43.001107], [-78.788936, 43.000938], [-78.788936, 43.00102], [-78.788259, 43.000938], [-78.788156, 43.001106]]","[[18.663583576414805, 9.1], [8.480108542626493, 9.1], [18.66376114495239, 9.1], [55.202395438262634, 9.1], [9.109605931816109, 9.1], [17.204859597301116, 9.1], [9.665069852091047, 9.1], [24.869548689423297, 9.1], [18.441398057529568, 9.1], [55.93605895380871, 9.1], [0.0, 9.1]]","[<CesiumPy.Plane object at 0x000002C3D4920790>, <CesiumPy.Plane object at 0x000002C3D4921150>, <CesiumPy.Plane object at 0x000002C3D4921210>, <CesiumPy.Plane object at 0x000002C3D49212D0>, <CesiumPy.Plane object at 0x000002C3D4921090>, <CesiumPy.Plane object at 0x000002C3D4921630>, <CesiumPy.Plane object at 0x000002C3D4921510>, <CesiumPy.Plane object at 0x000002C3D49215D0>, <CesiumPy.Plane object at 0x000002C3D4921390>, <CesiumPy.Plane object at 0x000002C3D4921750>, <CesiumPy.Plane object at 0x000002C3D4921810>]"
O'Brian Hall,28.8,"[[-78.788403, 43.000573], [-78.787719, 43.000576], [-78.787719, 43.000545], [-78.787667, 43.000545], [-78.787656, 43.000576], [-78.787581, 43.000576], [-78.787579, 43.000297], [-78.787657, 43.000297], [-78.787736, 43.000236], [-78.788481, 43.000234], [-78.788481, 43.000289], [-78.788464, 43.000289], [-78.788464, 43.000363], [-78.78844, 43.000363], [-78.78844, 43.000443], [-78.788412, 43.000443], [-78.788412, 43.000493], [-78.788402, 43.000493], [-78.788403, 43.000573], [-78.788403, 43.000573]]","[[-78.787719, 43.000576], [-78.787719, 43.000545], [-78.787667, 43.000545], [-78.787656, 43.000576], [-78.788403, 43.000573], [-78.788412, 43.000493], [-78.788402, 43.000493], [-78.788403, 43.000573], [-78.788481, 43.000289], [-78.788464, 43.000289], [-78.788464, 43.000363], [-78.78844, 43.000363], [-78.78844, 43.000443], [-78.788412, 43.000443], [-78.788481, 43.000234], [-78.788481, 43.000289], [-78.788464, 43.000289], [-78.788464, 43.000363], [-78.78844, 43.000363], [-78.788481, 43.000234], [-78.788481, 43.000289], [-78.788464, 43.000289], [-78.787657, 43.000297], [-78.787736, 43.000236], [-78.787579, 43.000297], [-78.787657, 43.000297], [-78.787667, 43.000545], [-78.787656, 43.000576], [-78.787581, 43.000576]]","[[55.77449806963809, 28.8], [3.4438751616864804, 28.8], [4.240092847504071, 28.8], [3.558761296571493, 28.8], [6.115515455580233, 28.8], [30.99530479705316, 28.8], [6.360164851573779, 28.8], [9.349796414410074, 28.8], [60.74819578979651, 28.8], [6.110100771291338, 28.8], [1.3861899551241978, 28.8], [8.220862949069554, 28.8], [1.956971706671344, 28.8], [8.887419523015854, 28.8], [2.283130694731443, 28.8], [5.5546372665508, 28.8], [0.8154031574557375, 28.8], [8.887793776423067, 28.8], [0.0, 28.8]]","[<CesiumPy.Plane object at 0x000002C3D4921450>, <CesiumPy.Plane object at 0x000002C3D4921990>, <CesiumPy.Plane object at 0x000002C3D4921A50>, <CesiumPy.Plane object at 0x000002C3D4921B10>, <CesiumPy.Plane object at 0x000002C3D49218D0>, <CesiumPy.Plane object at 0x000002C3D4921E70>, <CesiumPy.Plane object at 0x000002C3D4921D50>, <CesiumPy.Plane object at 0x000002C3D4921E10>, <CesiumPy.Plane object at 0x000002C3D4921BD0>, <CesiumPy.Plane object at 0x000002C3D4921F90>, <CesiumPy.Plane object at 0x000002C3D4922050>, <CesiumPy.Plane object at 0x000002C3D4922110>, <CesiumPy.Plane object at 0x000002C3D49221D0>, <CesiumPy.Plane object at 0x000002C3D4922290>, <CesiumPy.Plane object at 0x000002C3D4922350>, <CesiumPy.Plane object at 0x000002C3D4922410>, <CesiumPy.Plane object at 0x000002C3D49224D0>, <CesiumPy.Plane object at 0x000002C3D4922590>, <CesiumPy.Plane object at 0x000002C3D4922650>]"
Park Hall,18.5,"[[-78.787833, 42.999965], [-78.787732, 42.999965], [-78.787732, 42.999937], [-78.787611, 42.999937], [-78.787608, 42.999557], [-78.787717, 42.999556], [-78.787722, 42.999521], [-78.787757, 42.999512], [-78.787775, 42.999528], [-78.787775, 42.999589], [-78.787923, 42.999589], [-78.787924, 42.999602], [-78.788255, 42.999601], [-78.788255, 42.999653], [-78.788302, 42.999653], [-78.788302, 42.999709], [-78.788349, 42.999708], [-78.788349, 42.999764], [-78.788396, 42.999764], [-78.788397, 42.999819], [-78.788427, 42.999819], [-78.788428, 42.99988], [-78.788369, 42.99988], [-78.788369, 42.999934], [-78.787852, 42.999936], [-78.787849, 42.999956], [-78.787833, 42.999965], [-78.787833, 42.999965]]","[[-78.788428, 42.99988], [-78.788369, 42.99988], [-78.788369, 42.999934], [-78.788397, 42.999819], [-78.788427, 42.999819], [-78.788428, 42.99988], [-78.788369, 42.99988], [-78.788369, 42.999934], [-78.788349, 42.999764], [-78.788396, 42.999764], [-78.788397, 42.999819], [-78.788427, 42.999819], [-78.788428, 42.99988], [-78.788369, 42.99988], [-78.788302, 42.999709], [-78.788349, 42.999708], [-78.788349, 42.999764], [-78.788396, 42.999764], [-78.788397, 42.999819], [-78.788427, 42.999819], [-78.788255, 42.999653], [-78.788302, 42.999653], [-78.788302, 42.999709], [-78.788349, 42.999708], [-78.788349, 42.999764], [-78.788396, 42.999764], [-78.788255, 42.999601], [-78.788255, 42.999653], [-78.788302, 42.999653], [-78.788302, 42.999709], [-78.788349, 42.999708], [-78.788255, 42.999601], [-78.788255, 42.999653], [-78.788302, 42.999653], [-78.787717, 42.999556], [-78.787722, 42.999521], [-78.787757, 42.999512], [-78.787775, 42.999528], [-78.787775, 42.999589], [-78.787717, 42.999556], [-78.787722, 42.999521], [-78.787757, 42.999512], [-78.787775, 42.999528], [-78.787775, 42.999589], [-78.787608, 42.999557], [-78.787611, 42.999937], [-78.787732, 42.999965], [-78.787732, 42.999937], [-78.787833, 42.999965], [-78.787852, 42.999936], [-78.787849, 42.999956], [-78.787833, 42.999965]]","[[8.235642418033086, 18.5], [3.1105965870532546, 18.5], [9.866467179453325, 18.5], [42.21594663594818, 18.5], [8.888723663874414, 18.5], [3.9095624317684448, 18.5], [3.0240263529965414, 18.5], [2.3051539472504037, 18.5], [6.776656383822408, 18.5], [12.068143664444793, 18.5], [1.4465056011575097, 18.5], [26.99046337948335, 18.5], [5.77682190465704, 18.5], [3.8324470503088244, 18.5], [6.221192879051436, 18.5], [3.834053409851831, 18.5], [6.221192938285032, 18.5], [3.8324401528065617, 18.5], [6.110644340649095, 18.5], [2.446236212676934, 18.5], [6.77714729065315, 18.5], [4.810926459334212, 18.5], [5.999007656588393, 18.5], [42.157310274147385, 18.5], [2.2352804725981494, 18.5], [1.6437145059159188, 18.5], [0.0, 18.5]]","[<CesiumPy.Plane object at 0x000002C3D49216C0>, <CesiumPy.Plane object at 0x000002C3D49227D0>, <CesiumPy.Plane object at 0x000002C3D4922890>, <CesiumPy.Plane object at 0x000002C3D4922950>, <CesiumPy.Plane object at 0x000002C3D4922710>, <CesiumPy.Plane object at 0x000002C3D4922CB0>, <CesiumPy.Plane object at 0x000002C3D4922B90>, <CesiumPy.Plane object at 0x000002C3D4922C50>, <CesiumPy.Plane object at 0x000002C3D4922A10>, <CesiumPy.Plane object at 0x000002C3D4922DD0>, <CesiumPy.Plane object at 0x000002C3D4922E90>, <CesiumPy.Plane object at 0x000002C3D4922F50>, <CesiumPy.Plane object at 0x000002C3D4923010>, <CesiumPy.Plane object at 0x000002C3D49230D0>, <CesiumPy.Plane object at 0x000002C3D4923190>, <CesiumPy.Plane object at 0x000002C3D4923250>, <CesiumPy.Plane object at 0x000002C3D4923310>, <CesiumPy.Plane object at 0x000002C3D49233D0>, <CesiumPy.Plane object at 0x000002C3D4923490>, <CesiumPy.Plane object at 0x000002C3D4923550>, <CesiumPy.Plane object at 0x000002C3D4923610>, <CesiumPy.Plane object at 0x000002C3D49236D0>, <CesiumPy.Plane object at 0x000002C3D4923790>, <CesiumPy.Plane object at 0x000002C3D4923850>, <CesiumPy.Plane object at 0x000002C3D4923910>, <CesiumPy.Plane object at 0x000002C3D49239D0>, <CesiumPy.Plane object at 0x000002C3D4923A90>]"
Knox Lecture Hall,8.6,"[[-78.788259, 43.000938], [-78.78826, 43.001106], [-78.788156, 43.001106], [-78.788156, 43.001171], [-78.788047, 43.001171], [-78.788047, 43.001232], [-78.787974, 43.001286], [-78.787918, 43.001286], [-78.787895, 43.001269], [-78.787873, 43.001286], [-78.787741, 43.001286], [-78.787721, 43.001272], [-78.787704, 43.001286], [-78.787612, 43.001286], [-78.787541, 43.001234], [-78.78754, 43.00115], [-78.787572, 43.001127], [-78.787539, 43.001102], [-78.787538, 43.001056], [-78.787568, 43.001034], [-78.787537, 43.001012], [-78.787535, 43.000923], [-78.787605, 43.000869], [-78.787693, 43.000868], [-78.787741, 43.000902], [-78.787833, 43.000901], [-78.787945, 43.000815], [-78.788078, 43.000814], [-78.788159, 43.000871], [-78.788159, 43.000938], [-78.788259, 43.000938], [-78.788259, 43.000938]]","[[-78.788047, 43.001232], [-78.787974, 43.001286], [-78.787918, 43.001286], [-78.787895, 43.001269], [-78.78826, 43.001106], [-78.788259, 43.000938], [-78.788259, 43.000938], [-78.788078, 43.000814], [-78.788159, 43.000871], [-78.787945, 43.000815], [-78.787535, 43.000923], [-78.787605, 43.000869], [-78.787693, 43.000868], [-78.787537, 43.001012], [-78.787535, 43.000923], [-78.787605, 43.000869], [-78.787612, 43.001286], [-78.787541, 43.001234], [-78.78754, 43.00115], [-78.787704, 43.001286], [-78.787612, 43.001286], [-78.787541, 43.001234]]","[[18.66376114495239, 8.6], [8.480108542626493, 8.6], [7.221029294113958, 8.6], [8.887796699820232, 8.6], [6.776658336712705, 8.6], [8.45096491153908, 8.6], [4.566198962952855, 8.6], [2.6615523238902297, 8.6], [2.604740168878815, 8.6], [10.763183270313146, 8.6], [2.253533967629131, 8.6], [2.0833662172874305, 8.6], [7.50161258265588, 8.6], [8.178482370208206, 8.6], [9.332148021365272, 8.6], [3.6519801793283486, 8.6], [3.8670302486387196, 8.6], [5.11091731550168, 8.6], [3.457913869139804, 8.6], [3.51606936584996, 8.6], [9.888600014788532, 8.6], [8.280514036218603, 8.6], [7.176364027522245, 8.6], [5.439263103475372, 8.6], [7.502481906710749, 8.6], [13.216668317129729, 8.6], [10.845374457636204, 8.6], [9.149879303076572, 8.6], [7.443214506233378, 8.6], [8.153972738464434, 8.6], [0.0, 8.6]]","[<CesiumPy.Plane object at 0x000002C3D4922D40>, <CesiumPy.Plane object at 0x000002C3D4923C10>, <CesiumPy.Plane object at 0x000002C3D4923CD0>, <CesiumPy.Plane object at 0x000002C3D4921C90>, <CesiumPy.Plane object at 0x000002C3D4923E50>, <CesiumPy.Plane object at 0x000002C3D4923FD0>, <CesiumPy.Plane object at 0x000002C3D4923F10>, <CesiumPy.Plane object at 0x000002C3D4922AD0>, <CesiumPy.Plane object at 0x000002C3D4923B50>, <CesiumPy.Plane object at 0x000002C3D49304F0>, <CesiumPy.Plane object at 0x000002C3D49302B0>, <CesiumPy.Plane object at 0x000002C3D49300D0>, <CesiumPy.Plane object at 0x000002C3D4930070>, <CesiumPy.Plane object at 0x000002C3D4930550>, <CesiumPy.Plane object at 0x000002C3D4930610>, <CesiumPy.Plane object at 0x000002C3D49306D0>, <CesiumPy.Plane object at 0x000002C3D4930790>, <CesiumPy.Plane object at 0x000002C3D4930850>, <CesiumPy.Plane object at 0x000002C3D4930910>, <CesiumPy.Plane object at 0x000002C3D49309D0>, <CesiumPy.Plane object at 0x000002C3D4930A90>, <CesiumPy.Plane object at 0x000002C3D4930B50>, <CesiumPy.Plane object at 0x000002C3D4930C10>, <CesiumPy.Plane object at 0x000002C3D4930CD0>, <CesiumPy.Plane object at 0x000002C3D4930D90>, <CesiumPy.Plane object at 0x000002C3D4930E50>, <CesiumPy.Plane object at 0x000002C3D4930F10>, <CesiumPy.Plane object at 0x000002C3D4930FD0>, <CesiumPy.Plane object at 0x000002C3D4931090>, <CesiumPy.Plane object at 0x000002C3D4931150>, <CesiumPy.Plane object at 0x000002C3D4931210>]"
Davis Hall,14.7,"[[-78.786844, 43.002646], [-78.787499, 43.002646], [-78.787499, 43.002312], [-78.787758, 43.002365], [-78.787758, 43.002396], [-78.787806, 43.002396], [-78.787805, 43.003013], [-78.787633, 43.002974], [-78.787545, 43.002974], [-78.787545, 43.002939], [-78.7875, 43.002929], [-78.7875, 43.002956], [-78.786773, 43.002959], [-78.786796, 43.002853], [-78.786829, 43.002853], [-78.786829, 43.002833], [-78.78681, 43.002831], [-78.786809, 43.002674], [-78.786845, 43.002674], [-78.786844, 43.002646], [-78.786844, 43.002646]]","[[-78.787805, 43.003013], [-78.787758, 43.002365], [-78.787758, 43.002396], [-78.787806, 43.002396], [-78.787758, 43.002365], [-78.787758, 43.002396], [-78.787806, 43.002396], [-78.787499, 43.002312], [-78.786844, 43.002646], [-78.786809, 43.002674], [-78.786845, 43.002674], [-78.786844, 43.002646], [-78.786844, 43.002646], [-78.786809, 43.002674], [-78.786845, 43.002674], [-78.786844, 43.002646], [-78.786773, 43.002959]]","[[53.40704201888652, 14.7], [37.10499002159958, 14.7], [21.923744598226246, 14.7], [3.443876260744092, 14.7], [3.9138143686358413, 14.7], [68.54429924080857, 14.7], [14.6783656187808, 14.7], [7.175259078506402, 14.7], [3.888247783039302, 14.7], [3.83366165523297, 14.7], [2.999505425248932, 14.7], [59.27837718801339, 14.7], [11.924230229013558, 14.7], [2.690727434873468, 14.7], [2.2218558315427517, 14.7], [1.565058939549739, 14.7], [17.441758590098093, 14.7], [2.9353475408970553, 14.7], [3.1116665422058487, 14.7], [0.0, 14.7]]","[<CesiumPy.Plane object at 0x000002C3D4930250>, <CesiumPy.Plane object at 0x000002C3D4931390>, <CesiumPy.Plane object at 0x000002C3D4931450>, <CesiumPy.Plane object at 0x000002C3D4931510>, <CesiumPy.Plane object at 0x000002C3D49312D0>, <CesiumPy.Plane object at 0x000002C3D4931870>, <CesiumPy.Plane object at 0x000002C3D4931750>, <CesiumPy.Plane object at 0x000002C3D4931810>, <CesiumPy.Plane object at 0x000002C3D49315D0>, <CesiumPy.Plane object at 0x000002C3D4931990>, <CesiumPy.Plane object at 0x000002C3D4931A50>, <CesiumPy.Plane object at 0x000002C3D4931B10>, <CesiumPy.Plane object at 0x000002C3D4931BD0>, <CesiumPy.Plane object at 0x000002C3D4931C90>, <CesiumPy.Plane object at 0x000002C3D4931D50>, <CesiumPy.Plane object at 0x000002C3D4931E10>, <CesiumPy.Plane object at 0x000002C3D4931ED0>, <CesiumPy.Plane object at 0x000002C3D4931F90>, <CesiumPy.Plane object at 0x000002C3D4932050>, <CesiumPy.Plane object at 0x000002C3D4932110>]"
Baldy Hall,28.8,"[[-78.787394, 43.000559], [-78.786405, 43.000558], [-78.786402, 43.00022], [-78.787376, 43.000217], [-78.787377, 43.00024], [-78.787736, 43.000236], [-78.787657, 43.000297], [-78.787579, 43.000297], [-78.787579, 43.000337], [-78.787393, 43.000339], [-78.787394, 43.000559], [-78.787394, 43.000559]]","[[-78.787394, 43.000559], [-78.787394, 43.000559], [-78.787736, 43.000236], [-78.787657, 43.000297], [-78.787376, 43.000217], [-78.787377, 43.00024], [-78.786402, 43.00022], [-78.786405, 43.000558]]","[[80.64336321889029, 28.8], [37.55014420057144, 28.8], [79.42132044923099, 28.8], [2.556433785807312, 28.8], [29.276467061615634, 28.8], [9.349796414410074, 28.8], [6.360164851573779, 28.8], [4.443709693575053, 28.8], [15.168164259017066, 28.8], [24.440539910511202, 28.8], [0.0, 28.8]]","[<CesiumPy.Plane object at 0x000002C3D4931690>, <CesiumPy.Plane object at 0x000002C3D4932290>, <CesiumPy.Plane object at 0x000002C3D4932350>, <CesiumPy.Plane object at 0x000002C3D4932410>, <CesiumPy.Plane object at 0x000002C3D49321D0>, <CesiumPy.Plane object at 0x000002C3D4932770>, <CesiumPy.Plane object at 0x000002C3D4932650>, <CesiumPy.Plane object at 0x000002C3D4932710>, <CesiumPy.Plane object at 0x000002C3D49324D0>, <CesiumPy.Plane object at 0x000002C3D4932890>, <CesiumPy.Plane object at 0x000002C3D4932950>]"
Furnas Hall,45.7,"[[-78.787337, 43.001844], [-78.787337, 43.001879], [-78.78744, 43.001879], [-78.78744, 43.00191], [-78.787392, 43.00191], [-78.787393, 43.00194], [-78.787414, 43.00194], [-78.787414, 43.002025], [-78.786802, 43.002027], [-78.786802, 43.001964], [-78.786746, 43.001965], [-78.786745, 43.00188], [-78.786802, 43.001879], [-78.786801, 43.001846], [-78.787337, 43.001844], [-78.787337, 43.001844]]","[[-78.786802, 43.002027], [-78.786802, 43.001964], [-78.786746, 43.001965], [-78.787393, 43.00194], [-78.787414, 43.00194], [-78.787414, 43.002025], [-78.78744, 43.001879], [-78.78744, 43.00191], [-78.787392, 43.00191], [-78.787393, 43.00194], [-78.787414, 43.00194], [-78.78744, 43.001879], [-78.78744, 43.00191], [-78.787392, 43.00191], [-78.787393, 43.00194], [-78.787414, 43.00194], [-78.787337, 43.001844], [-78.787337, 43.001879], [-78.787392, 43.00191], [-78.787393, 43.00194], [-78.787414, 43.00194], [-78.787337, 43.001844], [-78.786745, 43.00188], [-78.786802, 43.001879], [-78.786801, 43.001846], [-78.786802, 43.001964], [-78.786746, 43.001965], [-78.786745, 43.00188], [-78.786802, 43.001879], [-78.786801, 43.001846], [-78.786802, 43.002027], [-78.786802, 43.001964], [-78.786746, 43.001965], [-78.786745, 43.00188], [-78.786802, 43.001879]]","[[3.8882470368758857, 45.7], [8.398463751629114, 45.7], [3.44387596674936, 45.7], [3.913845217667196, 45.7], [3.3337805012931936, 45.7], [1.712306449691154, 45.7], [9.442885861073776, 45.7], [49.90192727558033, 45.7], [6.998844829137583, 45.7], [4.567499941300937, 45.7], [9.44323779142224, 45.7], [4.6490210173986295, 45.7], [3.666968147585365, 45.7], [43.70521576585034, 45.7], [0.0, 45.7]]","[<CesiumPy.Plane object at 0x000002C3D4932590>, <CesiumPy.Plane object at 0x000002C3D4932AD0>, <CesiumPy.Plane object at 0x000002C3D4932B90>, <CesiumPy.Plane object at 0x000002C3D4932C50>, <CesiumPy.Plane object at 0x000002C3D4932A10>, <CesiumPy.Plane object at 0x000002C3D4932FB0>, <CesiumPy.Plane object at 0x000002C3D4932E90>, <CesiumPy.Plane object at 0x000002C3D4932F50>, <CesiumPy.Plane object at 0x000002C3D4932D10>, <CesiumPy.Plane object at 0x000002C3D49330D0>, <CesiumPy.Plane object at 0x000002C3D4933190>, <CesiumPy.Plane object at 0x000002C3D4933250>, <CesiumPy.Plane object at 0x000002C3D4933310>, <CesiumPy.Plane object at 0x000002C3D49333D0>, <CesiumPy.Plane object at 0x000002C3D4933490>]"
